88.180.152.244 - - [01/Dec/2017:00:23:35 -0300] "GET / HTTP/1.0" 404 -
85.245.250.234 - - [01/Dec/2017:00:24:00 -0300] "GET / HTTP/1.0" 404 -
5.39.220.3 - - [01/Dec/2017:00:58:18 -0300] "-" 400 -
5.39.220.3 - - [01/Dec/2017:00:58:19 -0300] "-" 400 -
163.172.149.131 - - [01/Dec/2017:01:01:51 -0300] "GET / HTTP/1.1" 404 -
58.218.200.24 - - [01/Dec/2017:02:50:06 -0300] "GET /manager/html HTTP/1.1" 401 2536
58.218.200.24 - - [01/Dec/2017:02:50:06 -0300] "GET /manager/html HTTP/1.1" 401 2536
58.218.200.24 - - [01/Dec/2017:02:50:10 -0300] "GET /manager/html HTTP/1.1" 401 2536
212.47.244.68 - - [01/Dec/2017:03:03:32 -0300] "GET / HTTP/1.1" 404 -
163.172.168.251 - - [01/Dec/2017:03:07:07 -0300] "GET / HTTP/1.1" 404 -
198.55.103.47 - - [01/Dec/2017:04:34:30 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:30 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:30 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:30 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:31 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:31 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:31 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:32 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:32 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:33 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:33 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:33 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:34 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:34 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:34 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:35 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:35 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:36 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:36 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:36 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:37 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:37 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:37 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:37 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:38 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:38 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:38 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:39 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:39 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:39 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:39 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:40 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:40 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:40 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:41 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:41 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:41 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:42 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:42 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:42 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:43 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:43 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:43 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:43 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:44 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:44 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:44 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:45 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:45 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:45 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:46 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:46 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:46 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:46 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:47 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:47 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:47 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:47 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:48 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:48 -0300] "GET /manager/html HTTP/1.1" 401 2536
198.55.103.47 - - [01/Dec/2017:04:34:48 -0300] "GET /manager/html HTTP/1.1" 401 2536
5.188.10.251 - - [01/Dec/2017:05:09:47 -0300] "GET / HTTP/1.1" 404 -
5.188.10.251 - - [01/Dec/2017:05:09:52 -0300] "GET /index.action HTTP/1.1" 404 -
5.188.10.251 - - [01/Dec/2017:05:09:58 -0300] "GET /login.action HTTP/1.1" 404 -
5.188.10.251 - - [01/Dec/2017:05:10:04 -0300] "GET /struts2-showcase/person/editPerson.action HTTP/1.1" 404 -
5.188.10.251 - - [01/Dec/2017:05:10:10 -0300] "GET /struts2-showcase/showcase.action HTTP/1.1" 404 -
5.188.10.251 - - [01/Dec/2017:05:10:15 -0300] "GET /struts-cookbook/processSimple.do HTTP/1.1" 404 -
5.188.10.251 - - [01/Dec/2017:05:10:22 -0300] "GET /portal/client/cms/viewcmspage.action HTTP/1.1" 404 -
5.188.10.251 - - [01/Dec/2017:05:10:28 -0300] "GET /admin/agent/default.action HTTP/1.1" 404 -
5.188.10.251 - - [01/Dec/2017:05:10:34 -0300] "GET /index.do HTTP/1.1" 404 -
5.188.10.251 - - [01/Dec/2017:05:10:40 -0300] "GET /Dashboard.action HTTP/1.1" 404 -
5.188.10.251 - - [01/Dec/2017:05:10:45 -0300] "GET /admin/login_login.action HTTP/1.1" 404 -
5.188.10.251 - - [01/Dec/2017:05:10:51 -0300] "GET /login.jsp HTTP/1.1" 404 -
5.188.10.251 - - [01/Dec/2017:05:10:58 -0300] "GET /struts/login.action HTTP/1.1" 404 -
5.188.10.251 - - [01/Dec/2017:05:11:04 -0300] "GET /home.action HTTP/1.1" 404 -
5.188.10.251 - - [01/Dec/2017:05:11:11 -0300] "GET /Homepage.action HTTP/1.1" 404 -
5.188.10.251 - - [01/Dec/2017:05:11:17 -0300] "GET /main.action HTTP/1.1" 404 -
5.188.10.251 - - [01/Dec/2017:05:11:23 -0300] "GET /default.action HTTP/1.1" 404 -
5.188.10.251 - - [01/Dec/2017:05:11:29 -0300] "GET /welcome.action HTTP/1.1" 404 -
5.188.10.251 - - [01/Dec/2017:05:11:34 -0300] "GET /contact.action HTTP/1.1" 404 -
212.47.244.68 - - [01/Dec/2017:05:41:09 -0300] "GET / HTTP/1.1" 404 -
163.172.149.131 - - [01/Dec/2017:06:39:08 -0300] "GET / HTTP/1.1" 404 -
212.47.244.68 - - [01/Dec/2017:09:00:53 -0300] "GET / HTTP/1.1" 404 -
10.50.13.1 - - [01/Dec/2017:11:18:05 -0300] "GET /estagios/workspace/en/central/indicadores?csrf=11526461 HTTP/1.1" 200 6268
10.50.13.1 - - [01/Dec/2017:11:18:05 -0300] "GET /favicon.ico HTTP/1.1" 404 -
10.50.13.1 - - [01/Dec/2017:11:18:10 -0300] "POST /estagios/workspace/en/central/j_security_check HTTP/1.1" 302 -
10.50.13.1 - usuario [01/Dec/2017:11:18:11 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/line.js HTTP/1.1" 200 9428
10.50.13.1 - usuario [01/Dec/2017:11:18:11 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/pie.js HTTP/1.1" 200 11406
10.50.13.1 - usuario [01/Dec/2017:11:18:11 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/lineChart.js HTTP/1.1" 200 10318
10.50.13.1 - usuario [01/Dec/2017:11:18:11 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/pieChart.js HTTP/1.1" 200 8133
