139.162.184.85 - - [25/Sep/2017:01:04:41 -0300] "GET / HTTP/1.0" 200 11398
212.47.227.163 - - [25/Sep/2017:01:16:07 -0300] "GET / HTTP/1.1" 200 11418
91.236.75.4 - - [25/Sep/2017:01:30:36 -0300] "GET / HTTP/1.1" 200 11418
91.236.75.4 - - [25/Sep/2017:01:43:55 -0300] "GET / HTTP/1.1" 200 11418
117.50.7.159 - - [25/Sep/2017:02:20:34 -0300] "GET / HTTP/1.0" 200 11398
164.52.7.130 - - [25/Sep/2017:02:31:36 -0300] "-" 400 -
164.52.7.130 - - [25/Sep/2017:02:31:40 -0300] "GET / HTTP/1.1" 200 11418
212.47.244.68 - - [25/Sep/2017:02:54:43 -0300] "GET / HTTP/1.1" 200 11418
84.41.39.36 - - [25/Sep/2017:03:01:04 -0300] "GET / HTTP/1.0" 200 11398
163.172.168.251 - - [25/Sep/2017:03:16:10 -0300] "GET / HTTP/1.1" 200 11418
212.47.227.163 - - [25/Sep/2017:03:28:41 -0300] "GET / HTTP/1.1" 200 11418
54.36.102.63 - - [25/Sep/2017:03:44:28 -0300] "GET / HTTP/1.1" 200 11418
212.47.227.163 - - [25/Sep/2017:04:30:23 -0300] "GET / HTTP/1.1" 200 11418
139.162.111.98 - - [25/Sep/2017:04:53:30 -0300] "GET / HTTP/1.1" 200 11418
212.47.227.163 - - [25/Sep/2017:05:27:37 -0300] "GET / HTTP/1.1" 200 11418
212.47.227.163 - - [25/Sep/2017:06:47:55 -0300] "GET / HTTP/1.1" 200 11418
163.172.168.251 - - [25/Sep/2017:07:12:32 -0300] "GET / HTTP/1.1" 200 11418
10.52.0.13 - - [25/Sep/2017:07:46:29 -0300] "GET /dashbuilder/workspace/pt/central HTTP/1.1" 200 6265
10.52.0.13 - - [25/Sep/2017:07:46:30 -0300] "GET /dashbuilder/workspace/pt/central HTTP/1.1" 200 6265
163.172.149.131 - - [25/Sep/2017:07:59:11 -0300] "GET / HTTP/1.1" 200 11418
163.172.149.131 - - [25/Sep/2017:08:16:10 -0300] "GET / HTTP/1.1" 200 11418
10.50.14.203 - - [25/Sep/2017:09:02:58 -0300] "POST /dashbuilder/workspace/pt/j_security_check HTTP/1.1" 408 1367
10.50.14.203 - - [25/Sep/2017:09:03:07 -0300] "GET /dashbuilder/workspace/pt/central HTTP/1.1" 200 6265
10.50.14.203 - - [25/Sep/2017:09:03:12 -0300] "POST /dashbuilder/workspace/pt/j_security_check HTTP/1.1" 302 -
10.50.14.203 - operador [25/Sep/2017:09:03:12 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/lib/d3.v2.min.js HTTP/1.1" 304 -
10.50.14.203 - operador [25/Sep/2017:09:03:13 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/tooltip.js HTTP/1.1" 304 -
10.50.14.203 - operador [25/Sep/2017:09:03:13 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/utils.js HTTP/1.1" 304 -
10.50.14.203 - operador [25/Sep/2017:09:03:13 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/nv.d3.min.js HTTP/1.1" 304 -
10.50.14.203 - operador [25/Sep/2017:09:03:13 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/models/axis.js HTTP/1.1" 304 -
10.50.14.203 - operador [25/Sep/2017:09:03:13 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/models/legend.js HTTP/1.1" 304 -
10.50.14.203 - operador [25/Sep/2017:09:03:13 -0300] "GET /dashbuilder/templates/css/administration_bar.css HTTP/1.1" 200 1475
10.50.14.203 - operador [25/Sep/2017:09:03:13 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/models/discreteBar.js HTTP/1.1" 304 -
10.50.14.203 - operador [25/Sep/2017:09:03:13 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/models/line.js HTTP/1.1" 304 -
10.50.14.203 - operador [25/Sep/2017:09:03:13 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/models/scatter.js HTTP/1.1" 304 -
10.50.14.203 - operador [25/Sep/2017:09:03:13 -0300] "GET /dashbuilder/skins/Default_Skin/styles/default.css HTTP/1.1" 200 6398
