10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/images/Barra_Menu.png HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/images/general/resize.gif HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/js/lib/scriptaculous-js-1.9.0/sound.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/js/lib/scriptaculous-js-1.9.0/builder.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/js/lib/scriptaculous-js-1.9.0/controls.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/js/lib/scriptaculous-js-1.9.0/slider.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/images/home_page.jpg HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/images/general/loading.gif HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/components/colorpicker/images/h.png HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/components/colorpicker/images/position.png HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/components/colorpicker/images/sv.png HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/envelopes/Envelope_IFCE/images/Bg_Top-right.jpg HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/envelopes/Envelope_IFCE/images/General_Logo.png HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/components/colorpicker/images/crosshairs.png HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/envelopes/Envelope_IFCE/images/Bg_Top-left.jpg HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/components/colorpicker/images/close.gif HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:26:11 -0300] "GET /estagios/envelopes/Envelope_IFCE/styles.css HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:26:11 -0300] "GET /estagios/components/bam/displayer/chart/nv.d3.css HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:26:11 -0300] "GET /estagios/skins/Default_Skin/styles/default.css HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:26:11 -0300] "GET /estagios/section/css/RenderSection.css HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:26:11 -0300] "GET /estagios/components/modalDialogComponent/css/PopUps.css HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:26:11 -0300] "GET /estagios/templates/css/panel_properties.css HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:26:12 -0300] "GET /estagios/images/general/16x16/ico-info.png HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:26:12 -0300] "GET /estagios/images/general/16x16/ico-calendar.png HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:26:12 -0300] "GET /estagios/images/general/16x16/ico-trash.png HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:26:12 -0300] "GET /estagios/section/images/menup_right.png HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:26:12 -0300] "GET /estagios/section/images/menup_left.png HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:26:12 -0300] "GET /estagios/workspace/pt/central/indicadores?csrf=72591582 HTTP/1.1" 200 289382
10.50.22.13 - usuario [21/Nov/2017:07:26:12 -0300] "GET /estagios/workspace/pt/central/images/deppi.png HTTP/1.1" 302 -
10.50.22.13 - usuario [21/Nov/2017:07:26:12 -0300] "GET /estagios/images/deppi.png HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:26:12 -0300] "GET /estagios/workspace/pt/central/images/logo_if.png HTTP/1.1" 302 -
10.50.22.13 - usuario [21/Nov/2017:07:26:12 -0300] "GET /estagios/images/logo_if.png HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:26:12 -0300] "GET /estagios/workspace/pt/central/images/Barra_Menu.png HTTP/1.1" 302 -
10.50.22.13 - usuario [21/Nov/2017:07:26:12 -0300] "GET /estagios/images/Barra_Menu.png HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:26:12 -0300] "GET /estagios/workspace/pt/central/images/Barra_Filtros.png HTTP/1.1" 302 -
10.50.22.13 - usuario [21/Nov/2017:07:26:12 -0300] "GET /estagios/images/Barra_Filtros.png HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:26:31 -0300] "GET /estagios/workspace/pt/central/indicadores?idPanel=2063&pAction=_select&csrf=14536208&ajaxAction=true HTTP/1.1" 200 12498
10.50.22.13 - usuario [21/Nov/2017:07:26:46 -0300] "GET /estagios/workspace/pt/central/indicadores?idPanel=2053&pAction=_select&csrf=48545130&ajaxAction=true HTTP/1.1" 200 12170
10.50.22.13 - usuario [21/Nov/2017:07:26:49 -0300] "GET /estagios/workspace/pt/central/indicadores?idPanel=2073&pAction=_select&csrf=08674819&ajaxAction=true HTTP/1.1" 200 12656
10.50.22.13 - usuario [21/Nov/2017:07:26:56 -0300] "GET /estagios/workspace/pt/central/indicadores?idPanel=2053&pAction=_select&csrf=74585362&ajaxAction=true HTTP/1.1" 200 12170
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/nv.d3.min.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/utils.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/axis.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/tooltip.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/lib/d3.v2.min.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/discreteBar.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/components/modalDialogComponent/css/PopUps.css HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/components/bam/displayer/chart/nv.d3.css HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/envelopes/Envelope_IFCE/styles.css HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/templates/css/panel_properties.css HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/skins/Default_Skin/styles/default.css HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/legend.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/line.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/lineChart.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/pie.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/js/lib/scriptaculous-js-1.9.0/prototype.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/js/lib/scriptaculous-js-1.9.0/scriptaculous.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/js/lib/scriptaculous-js-1.9.0/dragdrop.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/discreteBarChart.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/js/lib/scriptaculous-js-1.9.0/effects.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/common/rs/popup.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/scatter.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/section/css/RenderSection.css HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/ckeditor/ckeditor.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/pieChart.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/images/deppi.png HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/js/lib/scriptaculous-js-1.9.0/controls.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/js/lib/scriptaculous-js-1.9.0/sound.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/js/lib/scriptaculous-js-1.9.0/builder.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/js/lib/scriptaculous-js-1.9.0/slider.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/images/logo_if.png HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/components/colorpicker/images/crosshairs.png HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/components/colorpicker/images/position.png HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/components/colorpicker/images/h.png HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/components/colorpicker/images/close.gif HTTP/1.1" 304 -
