171.13.14.61 - - [04/Sep/2017:01:24:26 -0300] "GET / HTTP/1.1" 200 11418
163.172.149.131 - - [04/Sep/2017:03:00:12 -0300] "GET / HTTP/1.1" 200 11418
91.196.50.33 - - [04/Sep/2017:03:02:47 -0300] "GET /testproxy.php HTTP/1.1" 404 977
163.172.149.131 - - [04/Sep/2017:03:34:25 -0300] "GET / HTTP/1.1" 200 11418
212.47.244.68 - - [04/Sep/2017:03:50:34 -0300] "GET / HTTP/1.1" 200 11418
199.48.164.78 - - [04/Sep/2017:06:37:03 -0300] "GET /recordings//theme/main.css HTTP/1.1" 404 1003
199.48.164.78 - - [04/Sep/2017:06:37:04 -0300] "-" 400 -
163.172.149.131 - - [04/Sep/2017:06:48:37 -0300] "GET / HTTP/1.1" 200 11418
163.172.168.251 - - [04/Sep/2017:07:06:28 -0300] "GET / HTTP/1.1" 200 11418
212.47.244.68 - - [04/Sep/2017:07:38:59 -0300] "GET / HTTP/1.1" 200 11418
10.50.13.1 - - [04/Sep/2017:07:54:04 -0300] "GET /dashbuilder/images/jb_logo.png HTTP/1.1" 200 673
212.47.227.163 - - [04/Sep/2017:07:54:47 -0300] "GET / HTTP/1.1" 200 11418
10.52.0.51 - - [04/Sep/2017:08:33:36 -0300] "GET /dashbuilder/favicon.ico HTTP/1.1" 200 4960
10.52.0.51 - - [04/Sep/2017:08:33:37 -0300] "GET /dashbuilder/favicon.ico HTTP/1.1" 200 4960
163.172.149.131 - - [04/Sep/2017:09:15:12 -0300] "GET / HTTP/1.1" 200 11418
212.47.244.68 - - [04/Sep/2017:09:23:42 -0300] "GET / HTTP/1.1" 200 11418
188.213.143.89 - - [04/Sep/2017:09:26:33 -0300] "GET / HTTP/1.0" 200 11398
222.186.172.54 - - [04/Sep/2017:10:16:37 -0300] "GET /manager/html HTTP/1.1" 401 2536
222.186.172.54 - - [04/Sep/2017:10:16:38 -0300] "GET /manager/html HTTP/1.1" 401 2536
222.186.172.54 - - [04/Sep/2017:10:16:38 -0300] "GET /manager/html HTTP/1.1" 401 2536
222.186.172.54 - - [04/Sep/2017:10:16:38 -0300] "GET /manager/html HTTP/1.1" 401 2536
222.186.172.54 - - [04/Sep/2017:10:16:38 -0300] "GET /manager/html HTTP/1.1" 401 2536
222.186.172.54 - - [04/Sep/2017:10:16:38 -0300] "GET /manager/html HTTP/1.1" 401 2536
222.186.172.54 - - [04/Sep/2017:10:16:38 -0300] "GET /manager/html HTTP/1.1" 401 2536
222.186.172.54 - - [04/Sep/2017:10:16:38 -0300] "GET /manager/html HTTP/1.1" 401 2536
222.186.172.54 - - [04/Sep/2017:10:16:38 -0300] "GET /manager/html HTTP/1.1" 401 2536
222.186.172.54 - - [04/Sep/2017:10:16:38 -0300] "GET /manager/html HTTP/1.1" 401 2536
222.186.172.54 - - [04/Sep/2017:10:16:38 -0300] "GET /manager/html HTTP/1.1" 401 2536
222.186.172.54 - - [04/Sep/2017:10:16:39 -0300] "GET /manager/html HTTP/1.1" 401 2536
222.186.172.54 - - [04/Sep/2017:10:16:39 -0300] "GET /manager/html HTTP/1.1" 401 2536
222.186.172.54 - - [04/Sep/2017:10:16:39 -0300] "GET /manager/html HTTP/1.1" 401 2536
222.186.172.54 - - [04/Sep/2017:10:16:39 -0300] "GET /manager/html HTTP/1.1" 401 2536
222.186.172.54 - - [04/Sep/2017:10:16:39 -0300] "GET /manager/html HTTP/1.1" 401 2536
222.186.172.54 - - [04/Sep/2017:10:16:39 -0300] "GET /manager/html HTTP/1.1" 401 2536
222.186.172.54 - - [04/Sep/2017:10:16:39 -0300] "GET /manager/html HTTP/1.1" 401 2536
222.186.172.54 - - [04/Sep/2017:10:16:39 -0300] "GET /manager/html HTTP/1.1" 401 2536
222.186.172.54 - - [04/Sep/2017:10:16:39 -0300] "GET /manager/html HTTP/1.1" 401 2536
222.186.172.54 - - [04/Sep/2017:10:16:39 -0300] "GET /manager/html HTTP/1.1" 401 2536
222.186.172.54 - - [04/Sep/2017:10:16:39 -0300] "GET /manager/html HTTP/1.1" 401 2536
222.186.172.54 - - [04/Sep/2017:10:16:39 -0300] "GET /manager/html HTTP/1.1" 401 2536
222.186.172.54 - - [04/Sep/2017:10:16:39 -0300] "GET /manager/html HTTP/1.1" 401 2536
222.186.172.54 - - [04/Sep/2017:10:16:39 -0300] "GET /manager/html HTTP/1.1" 401 2536
222.186.172.54 - - [04/Sep/2017:10:16:39 -0300] "GET /manager/html HTTP/1.1" 401 2536
222.186.172.54 - - [04/Sep/2017:10:16:39 -0300] "GET /manager/html HTTP/1.1" 401 2536
222.186.172.54 - - [04/Sep/2017:10:16:39 -0300] "GET /manager/html HTTP/1.1" 401 2536
222.186.172.54 - - [04/Sep/2017:10:16:39 -0300] "GET /manager/html HTTP/1.1" 401 2536
222.186.172.54 - - [04/Sep/2017:10:16:39 -0300] "GET /manager/html HTTP/1.1" 401 2536
222.186.172.54 - - [04/Sep/2017:10:16:39 -0300] "GET /manager/html HTTP/1.1" 401 2536
163.172.149.131 - - [04/Sep/2017:10:32:37 -0300] "GET / HTTP/1.1" 200 11418
115.231.218.43 - - [04/Sep/2017:10:34:32 -0300] "GET /manager/html HTTP/1.1" 401 2536
115.231.218.43 - - [04/Sep/2017:10:34:32 -0300] "GET /manager/html HTTP/1.1" 401 2536
115.231.218.43 - - [04/Sep/2017:10:34:33 -0300] "GET /manager/html HTTP/1.1" 401 2536
115.231.218.43 - - [04/Sep/2017:10:34:34 -0300] "GET /manager/html HTTP/1.1" 401 2536
115.231.218.43 - - [04/Sep/2017:10:34:35 -0300] "GET /manager/html HTTP/1.1" 401 2536
115.231.218.43 - - [04/Sep/2017:10:34:35 -0300] "GET /manager/html HTTP/1.1" 401 2536
115.231.218.43 - - [04/Sep/2017:10:34:37 -0300] "GET /manager/html HTTP/1.1" 401 2536
115.231.218.43 - - [04/Sep/2017:10:34:37 -0300] "GET /manager/html HTTP/1.1" 401 2536
115.231.218.43 - - [04/Sep/2017:10:34:38 -0300] "GET /manager/html HTTP/1.1" 401 2536
115.231.218.43 - - [04/Sep/2017:10:34:38 -0300] "GET /manager/html HTTP/1.1" 401 2536
115.231.218.43 - - [04/Sep/2017:10:34:39 -0300] "GET /manager/html HTTP/1.1" 401 2536
115.231.218.43 - - [04/Sep/2017:10:34:39 -0300] "GET /manager/html HTTP/1.1" 401 2536
115.231.218.43 - - [04/Sep/2017:10:34:40 -0300] "GET /manager/html HTTP/1.1" 401 2536
115.231.218.43 - - [04/Sep/2017:10:34:40 -0300] "GET /manager/html HTTP/1.1" 401 2536
115.231.218.43 - - [04/Sep/2017:10:34:41 -0300] "GET /manager/html HTTP/1.1" 401 2536
115.231.218.43 - - [04/Sep/2017:10:34:41 -0300] "GET /manager/html HTTP/1.1" 401 2536
115.231.218.43 - - [04/Sep/2017:10:34:42 -0300] "GET /manager/html HTTP/1.1" 401 2536
163.172.149.131 - - [04/Sep/2017:10:49:33 -0300] "GET / HTTP/1.1" 200 11418
