10.52.0.13 - deppi [26/Sep/2017:07:53:57 -0300] "GET /dashbuilder/components/bam/displayer/chart/nv.d3.css HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:53:57 -0300] "GET /dashbuilder/ HTTP/1.1" 200 213571
10.52.0.13 - deppi [26/Sep/2017:07:53:57 -0300] "GET /dashbuilder/components/modalDialogComponent/css/PopUps.css HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:53:57 -0300] "GET /dashbuilder/templates/css/administration_bar.css HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:53:57 -0300] "GET /dashbuilder/js/lib/scriptaculous-js-1.9.0/builder.js HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:53:57 -0300] "GET /dashbuilder/js/lib/scriptaculous-js-1.9.0/controls.js HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:53:57 -0300] "GET /dashbuilder/js/lib/scriptaculous-js-1.9.0/slider.js HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:53:57 -0300] "GET /dashbuilder/js/lib/scriptaculous-js-1.9.0/sound.js HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:53:57 -0300] "GET /dashbuilder/images/deppi.png HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:53:57 -0300] "GET /dashbuilder/images/panelProperties/Erase.png HTTP/1.1" 200 1270
10.52.0.13 - deppi [26/Sep/2017:07:53:57 -0300] "GET /dashbuilder/images/logo_if.png HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:53:57 -0300] "GET /dashbuilder/images/panelProperties/HelpMod.png HTTP/1.1" 200 1366
10.52.0.13 - deppi [26/Sep/2017:07:53:57 -0300] "GET /dashbuilder/images/panelProperties/CloseMenu.png HTTP/1.1" 200 1352
10.52.0.13 - deppi [26/Sep/2017:07:53:57 -0300] "GET /dashbuilder/images/general/resize.gif HTTP/1.1" 200 160
10.52.0.13 - deppi [26/Sep/2017:07:53:57 -0300] "GET /dashbuilder/images/Barra_Menu.png HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:53:57 -0300] "GET /dashbuilder/js/lib/scriptaculous-js-1.9.0/effects.js HTTP/1.1" 200 38471
10.52.0.13 - deppi [26/Sep/2017:07:53:57 -0300] "GET /dashbuilder/images/home_page.jpg HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:53:57 -0300] "GET /dashbuilder/images/adminHeader/edit.png HTTP/1.1" 200 1230
10.52.0.13 - deppi [26/Sep/2017:07:53:57 -0300] "GET /dashbuilder/images/adminHeader/new-workspace.png HTTP/1.1" 200 1086
10.52.0.13 - deppi [26/Sep/2017:07:53:57 -0300] "GET /dashbuilder/images/adminHeader/duplicate-workspace.png HTTP/1.1" 200 1211
10.52.0.13 - deppi [26/Sep/2017:07:53:57 -0300] "GET /dashbuilder/images/adminHeader/new-section.png HTTP/1.1" 200 1068
10.52.0.13 - deppi [26/Sep/2017:07:53:58 -0300] "GET /dashbuilder/images/adminHeader/remove.png HTTP/1.1" 200 1195
10.52.0.13 - deppi [26/Sep/2017:07:53:58 -0300] "GET /dashbuilder/images/adminHeader/duplicate-section.png HTTP/1.1" 200 1169
10.52.0.13 - deppi [26/Sep/2017:07:53:58 -0300] "GET /dashbuilder/images/adminHeader/new-panel.png HTTP/1.1" 200 1182
10.52.0.13 - deppi [26/Sep/2017:07:53:58 -0300] "GET /dashbuilder/images/adminHeader/processes.png HTTP/1.1" 200 1135
10.52.0.13 - deppi [26/Sep/2017:07:53:58 -0300] "GET /dashbuilder/images/adminHeader/login-logout.png HTTP/1.1" 200 1243
10.52.0.13 - deppi [26/Sep/2017:07:53:58 -0300] "GET /dashbuilder/images/adminHeader/admin_up.png HTTP/1.1" 200 1127
10.52.0.13 - deppi [26/Sep/2017:07:53:58 -0300] "GET /dashbuilder/images/general/movePanel.gif HTTP/1.1" 200 1148
10.52.0.13 - deppi [26/Sep/2017:07:53:58 -0300] "GET /dashbuilder/images/general/PopMenu.gif HTTP/1.1" 200 1252
10.52.0.13 - deppi [26/Sep/2017:07:53:58 -0300] "GET /dashbuilder/js/lib/scriptaculous-js-1.9.0/dragdrop.js HTTP/1.1" 200 31066
