91.196.50.33 - - [03/Dec/2017:02:46:36 -0300] "GET /testproxy.php HTTP/1.1" 404 -
202.168.151.108 - - [03/Dec/2017:11:13:23 -0300] "GET /manager/html HTTP/1.1" 401 2536
202.168.151.108 - - [03/Dec/2017:11:13:24 -0300] "GET /manager/html HTTP/1.1" 401 2536
202.168.151.108 - - [03/Dec/2017:11:13:24 -0300] "GET /manager/html HTTP/1.1" 401 2536
202.168.151.108 - - [03/Dec/2017:11:13:24 -0300] "GET /manager/html HTTP/1.1" 401 2536
202.168.151.108 - - [03/Dec/2017:11:13:25 -0300] "GET /manager/html HTTP/1.1" 401 2536
202.168.151.108 - - [03/Dec/2017:11:13:25 -0300] "GET /manager/html HTTP/1.1" 401 2536
202.168.151.108 - - [03/Dec/2017:11:13:26 -0300] "GET /manager/html HTTP/1.1" 401 2536
202.168.151.108 - - [03/Dec/2017:11:13:26 -0300] "GET /manager/html HTTP/1.1" 401 2536
202.168.151.108 - - [03/Dec/2017:11:13:26 -0300] "GET /manager/html HTTP/1.1" 401 2536
202.168.151.108 - - [03/Dec/2017:11:13:27 -0300] "GET /manager/html HTTP/1.1" 401 2536
202.168.151.108 - - [03/Dec/2017:11:13:27 -0300] "GET /manager/html HTTP/1.1" 401 2536
202.168.151.108 - - [03/Dec/2017:11:13:27 -0300] "GET /manager/html HTTP/1.1" 401 2536
202.168.151.108 - - [03/Dec/2017:11:13:28 -0300] "GET /manager/html HTTP/1.1" 401 2536
202.168.151.108 - - [03/Dec/2017:11:13:28 -0300] "GET /manager/html HTTP/1.1" 401 2536
202.168.151.108 - - [03/Dec/2017:11:13:29 -0300] "GET /manager/html HTTP/1.1" 401 2536
202.168.151.108 - - [03/Dec/2017:11:13:29 -0300] "GET /manager/html HTTP/1.1" 401 2536
202.168.151.108 - - [03/Dec/2017:11:13:29 -0300] "GET /manager/html HTTP/1.1" 401 2536
202.168.151.108 - - [03/Dec/2017:11:13:30 -0300] "GET /manager/html HTTP/1.1" 401 2536
202.168.151.108 - - [03/Dec/2017:11:13:31 -0300] "GET /manager/html HTTP/1.1" 401 2536
202.168.151.108 - - [03/Dec/2017:11:13:31 -0300] "GET /manager/html HTTP/1.1" 401 2536
202.168.151.108 - - [03/Dec/2017:11:13:31 -0300] "GET /manager/html HTTP/1.1" 401 2536
202.168.151.108 - - [03/Dec/2017:11:13:32 -0300] "GET /manager/html HTTP/1.1" 401 2536
202.168.151.108 - - [03/Dec/2017:11:13:32 -0300] "GET /manager/html HTTP/1.1" 401 2536
202.168.151.108 - - [03/Dec/2017:11:13:33 -0300] "GET /manager/html HTTP/1.1" 401 2536
202.168.151.108 - - [03/Dec/2017:11:13:33 -0300] "GET /manager/html HTTP/1.1" 401 2536
202.168.151.108 - - [03/Dec/2017:11:13:34 -0300] "GET /manager/html HTTP/1.1" 401 2536
