35.201.154.159 - - [06/Dec/2017:11:02:02 -0300] "GET /dnscfg.cgi?dnsPrimary=192.95.1.54&dnsSecondary=185.70.186.7&dnsDynamic=0&dnsRefresh=1 HTTP/1.1" 404 -
104.199.232.126 - - [06/Dec/2017:12:32:16 -0300] "GET / HTTP/1.1" 404 -
104.199.232.126 - - [06/Dec/2017:12:32:16 -0300] "GET /dnscfg.cgi?dnsPrimary=192.95.1.54&dnsSecondary=185.70.186.7&dnsDynamic=0&dnsRefresh=1 HTTP/1.1" 404 -
104.199.232.126 - - [06/Dec/2017:12:36:44 -0300] "GET /dnscfg.cgi?dnsPrimary=192.95.1.54&dnsSecondary=185.70.186.7&dnsDynamic=0&dnsRefresh=1 HTTP/1.1" 404 -
104.199.232.126 - - [06/Dec/2017:12:36:44 -0300] "GET / HTTP/1.1" 404 -
163.172.149.131 - - [06/Dec/2017:12:47:34 -0300] "GET / HTTP/1.1" 404 -
212.47.244.68 - - [06/Dec/2017:13:24:14 -0300] "GET / HTTP/1.1" 404 -
35.198.196.35 - - [06/Dec/2017:13:31:10 -0300] "GET / HTTP/1.1" 404 -
35.198.196.35 - - [06/Dec/2017:13:31:10 -0300] "GET /dnscfg.cgi?dnsPrimary=192.95.1.54&dnsSecondary=185.70.186.7&dnsDynamic=0&dnsRefresh=1 HTTP/1.1" 404 -
35.201.227.42 - - [06/Dec/2017:14:30:35 -0300] "GET / HTTP/1.1" 404 -
35.201.227.42 - - [06/Dec/2017:14:30:36 -0300] "GET /dnscfg.cgi?dnsPrimary=192.95.1.54&dnsSecondary=185.70.186.7&dnsDynamic=0&dnsRefresh=1 HTTP/1.1" 404 -
163.172.168.251 - - [06/Dec/2017:16:18:25 -0300] "GET / HTTP/1.1" 404 -
66.249.83.24 - - [06/Dec/2017:17:20:51 -0300] "GET /estagios/ HTTP/1.1" 200 6268
66.249.83.24 - - [06/Dec/2017:17:20:51 -0300] "GET /favicon.ico HTTP/1.1" 404 -
163.172.149.131 - - [06/Dec/2017:18:36:34 -0300] "GET / HTTP/1.1" 404 -
47.203.90.223 - - [06/Dec/2017:19:38:03 -0300] "GET / HTTP/1.1" 404 -
47.203.90.223 - - [06/Dec/2017:19:38:04 -0300] "-" 400 -
47.203.90.223 - - [06/Dec/2017:19:38:04 -0300] "-" 400 -
47.203.90.223 - - [06/Dec/2017:19:38:04 -0300] "-" 400 -
212.47.244.68 - - [06/Dec/2017:20:42:33 -0300] "GET / HTTP/1.1" 404 -
212.47.227.163 - - [06/Dec/2017:20:52:42 -0300] "GET / HTTP/1.1" 404 -
66.240.205.34 - - [06/Dec/2017:21:08:49 -0300] "GET / HTTP/1.1" 404 -
66.240.205.34 - - [06/Dec/2017:21:08:50 -0300] "GET /robots.txt HTTP/1.1" 404 -
66.240.205.34 - - [06/Dec/2017:21:08:50 -0300] "GET /sitemap.xml HTTP/1.1" 404 -
212.47.227.163 - - [06/Dec/2017:23:52:47 -0300] "GET / HTTP/1.1" 404 -
