91.236.75.4 - - [14/Sep/2017:00:35:35 -0300] "GET / HTTP/1.1" 200 11418
10.50.13.1 - usuario [14/Sep/2017:11:11:25 -0300] "GET /dashbuilder/js/lib/scriptaculous-js-1.9.0/slider.js HTTP/1.1" 304 -
10.50.13.1 - usuario [14/Sep/2017:11:11:25 -0300] "GET /dashbuilder/js/lib/scriptaculous-js-1.9.0/sound.js HTTP/1.1" 304 -
10.50.13.1 - usuario [14/Sep/2017:11:11:25 -0300] "GET /dashbuilder/images/general/loading.gif HTTP/1.1" 304 -
10.50.13.1 - usuario [14/Sep/2017:11:11:25 -0300] "GET /dashbuilder/images/general/resize.gif HTTP/1.1" 304 -
10.50.13.1 - usuario [14/Sep/2017:11:11:25 -0300] "GET /dashbuilder/js/lib/scriptaculous-js-1.9.0/builder.js HTTP/1.1" 304 -
10.50.13.1 - usuario [14/Sep/2017:11:11:25 -0300] "GET /dashbuilder/js/lib/scriptaculous-js-1.9.0/effects.js HTTP/1.1" 200 38471
10.50.13.1 - usuario [14/Sep/2017:11:11:25 -0300] "GET /dashbuilder/workspace/pt/images/deppi.png HTTP/1.1" 302 -
10.50.13.1 - usuario [14/Sep/2017:11:11:25 -0300] "GET /dashbuilder/workspace/pt/images/logo_if.png HTTP/1.1" 302 -
10.50.13.1 - usuario [14/Sep/2017:11:11:25 -0300] "GET /dashbuilder/js/lib/scriptaculous-js-1.9.0/dragdrop.js HTTP/1.1" 200 31066
10.50.13.1 - usuario [14/Sep/2017:11:11:25 -0300] "GET /dashbuilder/images/deppi.png HTTP/1.1" 304 -
10.50.13.1 - usuario [14/Sep/2017:11:11:25 -0300] "GET /dashbuilder/images/logo_if.png HTTP/1.1" 304 -
10.50.13.1 - usuario [14/Sep/2017:11:11:25 -0300] "GET /dashbuilder/workspace/pt/images/Barra_Menu.png HTTP/1.1" 302 -
10.50.13.1 - usuario [14/Sep/2017:11:11:25 -0300] "GET /dashbuilder/workspace/pt/images/home_page.jpg HTTP/1.1" 302 -
10.50.13.1 - usuario [14/Sep/2017:11:11:25 -0300] "GET /dashbuilder/images/Barra_Menu.png HTTP/1.1" 304 -
10.50.13.1 - usuario [14/Sep/2017:11:11:25 -0300] "GET /dashbuilder/images/home_page.jpg HTTP/1.1" 304 -
10.50.13.1 - usuario [14/Sep/2017:11:11:25 -0300] "GET /dashbuilder/components/colorpicker/images/position.png HTTP/1.1" 304 -
10.50.13.1 - usuario [14/Sep/2017:11:11:25 -0300] "GET /dashbuilder/components/colorpicker/images/h.png HTTP/1.1" 304 -
10.50.13.1 - usuario [14/Sep/2017:11:11:25 -0300] "GET /dashbuilder/components/colorpicker/images/sv.png HTTP/1.1" 304 -
10.50.13.1 - usuario [14/Sep/2017:11:11:25 -0300] "GET /dashbuilder/components/colorpicker/images/crosshairs.png HTTP/1.1" 304 -
10.50.13.1 - usuario [14/Sep/2017:11:11:25 -0300] "GET /dashbuilder/components/colorpicker/images/close.gif HTTP/1.1" 304 -
10.50.13.1 - usuario [14/Sep/2017:11:11:25 -0300] "GET /dashbuilder/favicon.ico HTTP/1.1" 200 1150
10.50.13.1 - usuario [14/Sep/2017:11:11:25 -0300] "GET /dashbuilder/envelopes/IFCE_Envelope/images/General_Logo.png HTTP/1.1" 304 -
10.50.13.1 - usuario [14/Sep/2017:11:11:25 -0300] "GET /dashbuilder/envelopes/IFCE_Envelope/images/Bg_Top-left.jpg HTTP/1.1" 304 -
10.50.13.1 - usuario [14/Sep/2017:11:11:25 -0300] "GET /dashbuilder/envelopes/IFCE_Envelope/images/Bg_Top-right.jpg HTTP/1.1" 304 -
10.50.13.1 - usuario [14/Sep/2017:11:11:34 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/lib/d3.v2.min.js HTTP/1.1" 200 115812
10.50.13.1 - usuario [14/Sep/2017:11:11:34 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/tooltip.js HTTP/1.1" 200 4207
10.50.13.1 - usuario [14/Sep/2017:11:11:34 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/utils.js HTTP/1.1" 200 3579
10.50.13.1 - usuario [14/Sep/2017:11:11:34 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/models/axis.js HTTP/1.1" 200 15395
10.50.13.1 - usuario [14/Sep/2017:11:11:34 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/models/discreteBar.js HTTP/1.1" 200 10462
10.50.13.1 - usuario [14/Sep/2017:11:11:34 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/models/discreteBarChart.js HTTP/1.1" 200 8600
10.50.13.1 - usuario [14/Sep/2017:11:11:34 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/models/legend.js HTTP/1.1" 200 6510
10.50.13.1 - usuario [14/Sep/2017:11:11:34 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/nv.d3.min.js HTTP/1.1" 200 149361
10.50.13.1 - usuario [14/Sep/2017:11:11:34 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/models/line.js HTTP/1.1" 200 9428
10.50.13.1 - usuario [14/Sep/2017:11:11:34 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/models/scatter.js HTTP/1.1" 200 20898
