35.198.173.127 - - [10/Mar/2018:16:12:40 -0300] "GET /dnscfg.cgi?dnsPrimary=185.70.186.4&dnsSecondary=185.70.186.7&dnsDynamic=0&dnsRefresh=1 HTTP/1.1" 404 -
35.198.173.127 - - [10/Mar/2018:16:12:40 -0300] "GET / HTTP/1.1" 404 -
5.188.10.105 - - [10/Mar/2018:16:26:32 -0300] "GET / HTTP/1.1" 404 -
5.188.10.105 - - [10/Mar/2018:16:26:38 -0300] "GET /index.action HTTP/1.1" 404 -
5.188.10.105 - - [10/Mar/2018:16:26:43 -0300] "GET /login.action HTTP/1.1" 404 -
5.188.10.105 - - [10/Mar/2018:16:26:49 -0300] "GET /struts2-showcase/person/editPerson.action HTTP/1.1" 404 -
5.188.10.105 - - [10/Mar/2018:16:26:54 -0300] "GET /struts2-showcase/showcase.action HTTP/1.1" 404 -
5.188.10.105 - - [10/Mar/2018:16:27:01 -0300] "GET /struts-cookbook/processSimple.do HTTP/1.1" 404 -
5.188.10.105 - - [10/Mar/2018:16:27:06 -0300] "GET /portal/client/cms/viewcmspage.action HTTP/1.1" 404 -
5.188.10.105 - - [10/Mar/2018:16:27:12 -0300] "GET /admin/agent/default.action HTTP/1.1" 404 -
5.188.10.105 - - [10/Mar/2018:16:27:17 -0300] "GET /index.do HTTP/1.1" 404 -
5.188.10.105 - - [10/Mar/2018:16:27:23 -0300] "GET /Dashboard.action HTTP/1.1" 404 -
5.188.10.105 - - [10/Mar/2018:16:27:28 -0300] "GET /admin/login_login.action HTTP/1.1" 404 -
5.188.10.105 - - [10/Mar/2018:16:27:34 -0300] "GET /login.jsp HTTP/1.1" 404 -
5.188.10.105 - - [10/Mar/2018:16:27:39 -0300] "GET /struts/login.action HTTP/1.1" 404 -
5.188.10.105 - - [10/Mar/2018:16:27:44 -0300] "GET /home.action HTTP/1.1" 404 -
5.188.10.105 - - [10/Mar/2018:16:27:51 -0300] "GET /Homepage.action HTTP/1.1" 404 -
5.188.10.105 - - [10/Mar/2018:16:27:56 -0300] "GET /main.action HTTP/1.1" 404 -
5.188.10.105 - - [10/Mar/2018:16:28:02 -0300] "GET /default.action HTTP/1.1" 404 -
5.188.10.105 - - [10/Mar/2018:16:28:07 -0300] "GET /welcome.action HTTP/1.1" 404 -
5.188.10.105 - - [10/Mar/2018:16:28:13 -0300] "GET /contact.action HTTP/1.1" 404 -
212.47.244.68 - - [10/Mar/2018:17:19:35 -0300] "GET / HTTP/1.1" 404 -
163.172.168.251 - - [10/Mar/2018:18:03:48 -0300] "GET / HTTP/1.1" 404 -
122.10.88.136 - - [10/Mar/2018:18:05:08 -0300] "GET /manager/html HTTP/1.1" 401 2536
122.10.88.136 - - [10/Mar/2018:18:05:08 -0300] "GET /manager/html HTTP/1.1" 401 2536
122.10.88.136 - - [10/Mar/2018:18:05:08 -0300] "GET /manager/html HTTP/1.1" 401 2536
122.10.88.136 - - [10/Mar/2018:18:05:08 -0300] "GET /manager/html HTTP/1.1" 401 2536
122.10.88.136 - - [10/Mar/2018:18:05:08 -0300] "GET /manager/html HTTP/1.1" 401 2536
122.10.88.136 - - [10/Mar/2018:18:05:08 -0300] "GET /manager/html HTTP/1.1" 401 2536
122.10.88.136 - - [10/Mar/2018:18:05:08 -0300] "GET /manager/html HTTP/1.1" 401 2536
122.10.88.136 - - [10/Mar/2018:18:05:08 -0300] "GET /manager/html HTTP/1.1" 401 2536
122.10.88.136 - - [10/Mar/2018:18:05:08 -0300] "GET /manager/html HTTP/1.1" 401 2536
35.195.56.121 - - [10/Mar/2018:18:42:17 -0300] "GET /dnscfg.cgi?dnsPrimary=185.70.186.4&dnsSecondary=185.70.186.7&dnsDynamic=0&dnsRefresh=1 HTTP/1.1" 404 -
35.195.56.121 - - [10/Mar/2018:18:42:17 -0300] "GET / HTTP/1.1" 404 -
35.230.74.15 - - [10/Mar/2018:18:55:59 -0300] "GET /dnscfg.cgi?dnsPrimary=185.70.186.4&dnsSecondary=185.70.186.7&dnsDynamic=0&dnsRefresh=1 HTTP/1.1" 404 -
35.230.74.15 - - [10/Mar/2018:18:55:59 -0300] "GET / HTTP/1.1" 404 -
163.172.149.131 - - [10/Mar/2018:19:10:22 -0300] "GET / HTTP/1.1" 404 -
163.172.168.251 - - [10/Mar/2018:20:22:37 -0300] "GET / HTTP/1.1" 404 -
35.203.55.49 - - [10/Mar/2018:20:41:17 -0300] "GET /dnscfg.cgi?dnsPrimary=185.70.186.4&dnsSecondary=185.70.186.7&dnsDynamic=0&dnsRefresh=1 HTTP/1.1" 404 -
35.203.55.49 - - [10/Mar/2018:20:41:17 -0300] "GET / HTTP/1.1" 404 -
163.172.149.131 - - [10/Mar/2018:20:57:37 -0300] "GET / HTTP/1.1" 404 -
212.47.227.163 - - [10/Mar/2018:21:50:08 -0300] "GET / HTTP/1.1" 404 -
