208.113.204.247 - - [16/Dec/2017:01:04:35 -0300] "GET / HTTP/1.0" 404 -
163.172.168.251 - - [16/Dec/2017:01:24:04 -0300] "GET / HTTP/1.1" 404 -
163.172.149.131 - - [16/Dec/2017:02:21:33 -0300] "GET / HTTP/1.1" 404 -
5.189.190.67 - - [16/Dec/2017:02:27:51 -0300] "GET / HTTP/1.1" 404 -
163.172.168.251 - - [16/Dec/2017:03:12:07 -0300] "GET / HTTP/1.1" 404 -
212.47.227.163 - - [16/Dec/2017:03:29:13 -0300] "GET / HTTP/1.1" 404 -
5.188.10.105 - - [16/Dec/2017:03:41:28 -0300] "GET / HTTP/1.1" 404 -
5.188.10.105 - - [16/Dec/2017:03:41:34 -0300] "GET /index.action HTTP/1.1" 404 -
5.188.10.105 - - [16/Dec/2017:03:41:40 -0300] "GET /login.action HTTP/1.1" 404 -
131.247.249.222 - - [16/Dec/2017:03:41:41 -0300] "GET /webdav HTTP/1.0" 404 -
5.188.10.105 - - [16/Dec/2017:03:41:46 -0300] "GET /struts2-showcase/person/editPerson.action HTTP/1.1" 404 -
5.188.10.105 - - [16/Dec/2017:03:41:51 -0300] "GET /struts2-showcase/showcase.action HTTP/1.1" 404 -
5.188.10.105 - - [16/Dec/2017:03:41:57 -0300] "GET /struts-cookbook/processSimple.do HTTP/1.1" 404 -
5.188.10.105 - - [16/Dec/2017:03:42:03 -0300] "GET /portal/client/cms/viewcmspage.action HTTP/1.1" 404 -
5.188.10.105 - - [16/Dec/2017:03:42:10 -0300] "GET /admin/agent/default.action HTTP/1.1" 404 -
5.188.10.105 - - [16/Dec/2017:03:42:17 -0300] "GET /index.do HTTP/1.1" 404 -
5.188.10.105 - - [16/Dec/2017:03:42:22 -0300] "GET /Dashboard.action HTTP/1.1" 404 -
5.188.10.105 - - [16/Dec/2017:03:42:28 -0300] "GET /admin/login_login.action HTTP/1.1" 404 -
5.188.10.105 - - [16/Dec/2017:03:42:33 -0300] "GET /login.jsp HTTP/1.1" 404 -
